experiment,model,dof,horizon_samples,horizon_s,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,n_realizations,skill_ci_lo,skill_ci_hi,regime,phase_lag_s,phase_lag_raw_s,phase_lag_std_s,dominant_period_s,phase_lag_identified,n_realizations_phase,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,val_loss_name
deep,persistence,pitch_rate,20,2.0,434304,1.3414123591158549,0.83571542601617,1.3414123591158549,0.0,0.9237371608217294,1.4521580553526436,384,0.0,0.0,id,1.997203685045295,2.0,0.002880258663617147,7.199999999999999,False,32,0,True,0,0.0,,,,
deep,persistence,pitch_rate,30,3.0,434304,1.664055642972382,1.0431682570513632,1.664055642972382,0.0,0.9238676654473805,1.8011839846852606,384,0.0,0.0,id,2.9973221578042057,3.0,0.0029427425965957315,7.199999999999999,False,32,0,True,0,0.0,,,,
deep,persistence,pitch_rate,50,5.0,434304,1.549273352583568,0.9688414922649353,1.549273352583568,0.0,0.923797316378609,1.6770706356421305,384,0.0,0.0,id,4.997279086555764,5.0,0.003542603471820472,7.199999999999999,False,32,0,True,0,0.0,,,,
deep,persistence,pitch_rate,100,10.0,434304,1.2730898977022085,0.7930807929520691,1.2730898977022085,0.0,0.9237004804982916,1.3782496865384744,384,0.0,0.0,id,9.997254102537545,10.0,0.002425278727188926,7.199999999999999,False,32,0,True,0,0.0,,,,
deep,persistence,pitch_rate,150,15.0,434304,1.3079980284130317,0.8172558156953612,1.3079980284130317,0.0,0.9234069683655249,1.4164913989421712,384,0.0,0.0,id,14.99742125581017,15.0,0.0025920356738615225,7.199999999999999,False,32,0,True,0,0.0,,,,
deep,persistence,heave_rate,10,1.0,434304,0.2852226587419099,0.1935238417756118,0.2852226587419099,0.0,0.4495602477358838,0.6344481305417331,384,0.0,0.0,id,0.9956962946045178,1.0,0.005637422400351587,8.5,True,32,0,True,0,0.0,,,,
deep,persistence,heave_rate,20,2.0,434304,0.5351982235990471,0.3622164878114699,0.5351982235990471,0.0,0.44960586015695647,1.1903719925096405,384,0.0,0.0,id,1.996126906882758,2.0,0.004123896560080861,8.5,True,32,0,True,0,0.0,,,,
deep,persistence,heave_rate,30,3.0,434304,0.7216245802205107,0.4858565259598095,0.7216245802205107,0.0,0.4496495382799816,1.6048600494084782,384,0.0,0.0,id,2.9963070613197056,3.0,0.004019243333664944,8.5,False,32,0,True,0,0.0,,,,
deep,persistence,heave_rate,50,5.0,434304,0.8524864976952896,0.5593961275241245,0.8524864976952896,0.0,0.44959255402628673,1.8961312638764176,384,0.0,0.0,id,4.9962281807994575,5.0,0.005852615503276345,8.5,False,32,0,True,0,0.0,,,,
deep,persistence,heave_rate,100,10.0,434304,0.47861232963563727,0.3219983419341148,0.47861232963563727,0.0,0.4493860488108614,1.0650360217058645,384,0.0,0.0,id,9.996535028843645,10.0,0.0039018335844165646,8.525,False,32,0,True,0,0.0,,,,
deep,persistence,heave_rate,150,15.0,434304,0.6814233587032514,0.43911069937871144,0.6814233587032514,0.0,0.44913945544323325,1.5171754572993121,384,0.0,0.0,id,14.996575232850526,15.0,0.003675017217532909,8.55,False,32,0,True,0,0.0,,,,
deep,window_mean,roll,10,1.0,434304,4.11515587874688,2.0999541336155327,1.9446628367671026,-3.4779985814083254,3.682816873957597,1.117393565736731,384,-3.539042916679915,-3.4078745606715426,id,2.4998367512664093,2.5062499999999996,8.808134594463214,9.475000000000001,False,32,0,True,0,0.0,,,,
deep,window_mean,roll,20,2.0,434304,4.20803454325376,2.144202126348152,3.7444545258092843,-0.26293637240687096,3.683691963859013,1.142341592222996,384,-0.280918873495137,-0.24246984159794358,id,3.4999346065032357,3.5062499999999996,8.808364917574082,9.475000000000001,False,32,0,True,0,0.0,,,,
deep,window_mean,roll,30,3.0,434304,4.180459120687446,2.128860804124394,5.26736094690192,0.37011422155864127,3.6845301229084004,1.1345976233701087,384,0.36137505034515,0.3796199302865947,id,4.499842952279671,4.503125,8.808430990438842,9.475000000000001,False,32,0,True,0,0.0,,,,
deep,window_mean,roll,50,5.0,434304,3.8177565785068985,1.9503654047389596,7.0875605548865055,0.7098497805055688,3.685983647312865,1.0357497329892111,384,0.7068127035471251,0.7130312091701784,id,6.499308335253669,6.5,8.80803469600416,9.475000000000001,False,32,0,True,0,0.0,,,,
