model,regime,dof,horizon_samples,horizon_s,n_seeds,deterministic,n_windows,rmse_mean,rmse_std,mae_mean,mae_std,rmse_persistence,skill_mean,skill_std,skill_ci_lo,skill_ci_hi,n_params,fit_time_s_mean
ar_attitude_only,id,pitch,150,15.0,1,True,434304,1.224889693974932,,0.7894628683477338,,1.785131912400982,0.5291817015318514,,0.5092122906157698,0.5470118797441684,108900,0.052615476997743826
ar_attitude_only,id,pitch_rate,10,1.0,1,True,434304,0.08678176454510052,,0.05812706773980288,,0.7528444431836472,0.9867124027971977,,0.9859966925915792,0.987413894909164,108900,0.052615476997743826
ar_attitude_only,id,pitch_rate,20,2.0,1,True,434304,0.20218152826929098,,0.13847236504518548,,1.3414123591158549,0.9772826147398621,,0.9755790507947408,0.9787989989239674,108900,0.052615476997743826
ar_attitude_only,id,pitch_rate,30,3.0,1,True,434304,0.27204383607836735,,0.18744032741114955,,1.664055642972382,0.9732734998146545,,0.9711346994526366,0.9750743070298536,108900,0.052615476997743826
ar_attitude_only,id,pitch_rate,50,5.0,1,True,434304,0.49745368051929933,,0.33403281514831146,,1.549273352583568,0.8969022482658927,,0.8862372619122808,0.9058776081449335,108900,0.052615476997743826
ar_attitude_only,id,pitch_rate,100,10.0,1,True,434304,0.8375001489332002,,0.5591281314309018,,1.2730898977022085,0.5672354860551256,,0.5524413744362816,0.5814348349102192,108900,0.052615476997743826
ar_attitude_only,id,pitch_rate,150,15.0,1,True,434304,0.9108134116987792,,0.5885333268147989,,1.3079980284130317,0.5151084061386273,,0.4994404489367391,0.528622698935857,108900,0.052615476997743826
ar_attitude_only,id,roll,10,1.0,1,True,434304,0.024870502357959266,,0.017524431996575142,,1.9446628367671026,0.9998364387255747,,0.9997992826413304,0.9998627432134911,108900,0.052615476997743826
ar_attitude_only,id,roll,20,2.0,1,True,434304,0.11215361545173848,,0.08036676617718051,,3.7444545258092843,0.9991028822795225,,0.9989099698262978,0.9992344993576997,108900,0.052615476997743826
ar_attitude_only,id,roll,30,3.0,1,True,434304,0.2781601168407327,,0.20071475145296552,,5.26736094690192,0.9972112886694482,,0.9966526253944146,0.997580524144573,108900,0.052615476997743826
ar_attitude_only,id,roll,50,5.0,1,True,434304,0.6673939853167388,,0.4683846737500377,,7.0875605548865055,0.9911331163066407,,0.9896737331861436,0.9921864157175223,108900,0.052615476997743826
ar_attitude_only,id,roll,100,10.0,1,True,434304,1.1083490297634357,,0.7754987376302521,,3.793711335438843,0.914645872668462,,0.9011867039699243,0.924235726830547,108900,0.052615476997743826
